,idx,file,data_set,zero_crossing_rate,signal_power,danceability
0,0,Albums-AnaBelen_Veneo-01,1,1152.651711764573,0.02849657180457185,1.1227014822001846
1,1,Albums-AnaBelen_Veneo-02,1,2444.3382004468413,0.019984121921927587,1.1362810095281408
2,2,Albums-AnaBelen_Veneo-03,1,1404.708945396368,0.017350301407528343,1.0250456032961557
3,3,Albums-AnaBelen_Veneo-11,1,2102.6038133114985,0.013975658895564843,1.4750777029156277
4,4,Albums-AnaBelen_Veneo-13,1,1244.4959795335428,0.026011658398815272,1.110416571585542
5,5,Albums-AnaBelen_Veneo-15,1,1839.4871311113543,0.01991918576108175,0.9401792571454828
6,6,Albums-Ballroom_Classics4-01,1,1206.3066751887507,0.0377343477348402,0.9953930879830732
7,7,Albums-Ballroom_Classics4-02,1,932.5550273638797,0.03953387862296882,0.9396524054729318
8,8,Albums-Ballroom_Classics4-03,1,947.6236367994247,0.031026937851489363,0.816087109158088
9,9,Albums-Ballroom_Classics4-04,1,1011.9562177925136,0.03557358387543868,0.9490603622277212
10,10,Albums-Ballroom_Classics4-05,1,911.2576399153118,0.043958800532776635,0.8794030863314949
11,11,Albums-Ballroom_Classics4-06,1,1171.1046418727278,0.027563799917473028,1.1097479358569933
12,12,Albums-Ballroom_Classics4-07,1,2218.6403946790233,0.048795810551806484,0.9688909511738308
13,13,Albums-Ballroom_Classics4-08,1,1730.8767426996362,0.040848920898210316,1.0219420149231573
14,14,Albums-Ballroom_Classics4-09,1,2022.1193025206726,0.024681080041816204,1.0928547570071878
15,15,Albums-Ballroom_Classics4-10,1,1241.319957655894,0.026185847885970902,1.310097832371799
16,16,Albums-Ballroom_Classics4-11,1,1197.2466344425357,0.03590199670333048,0.9536918380376216
17,17,Albums-Ballroom_Classics4-12,1,1210.144609115967,0.03021138436616797,1.0457293045548737
18,18,Albums-Ballroom_Classics4-13,1,1732.3238325410455,0.02738878585669284,0.9935047832265644
19,19,Albums-Ballroom_Classics4-14,1,1327.6105540686292,0.035653825026040795,1.1310292740095578
20,20,Albums-Ballroom_Classics4-18,1,2887.3217353093914,0.02930823949467605,1.0150684982045841
21,21,Albums-Ballroom_Classics4-19,1,2720.0570247273595,0.03303289435567325,1.0985218556134957
22,22,Albums-Ballroom_Classics4-20,1,2885.8117285183557,0.02321585756434931,1.0258711410593435
23,23,Albums-Ballroom_Magic-01,1,1785.822256324615,0.04098493859336176,0.8703120200873524
24,24,Albums-Ballroom_Magic-02,1,1755.2538497239816,0.026302163775548247,0.9781338096718168
25,25,Albums-Ballroom_Magic-03,1,1856.0608862006118,0.011199565547661605,1.0232613869989275
26,26,Albums-Ballroom_Magic-04,1,1310.6578773597364,0.031823579240873194,1.0282798036258574
27,27,Albums-Ballroom_Magic-05,1,725.9731902348617,0.04367620101997803,0.952440293620245
28,28,Albums-Ballroom_Magic-06,1,2185.908013811469,0.03545083708832302,1.1857138822508362
29,29,Albums-Ballroom_Magic-07,1,1818.3333709462656,0.0401984123287608,1.0432490610206009
30,30,Albums-Ballroom_Magic-08,1,2421.5804202116856,0.04102955288381367,1.2567122635634953
31,31,Albums-Ballroom_Magic-09,1,1792.4571776759726,0.036142936860064326,0.9616293481426303
32,32,Albums-Ballroom_Magic-10,1,1317.1476007380602,0.05645697735754316,1.000971551960374
33,33,Albums-Ballroom_Magic-11,1,2332.1963526197164,0.02570584700124924,0.9357382642812756
34,34,Albums-Ballroom_Magic-15,1,2879.2739388496675,0.019406848619068464,1.2725421363260878
35,35,Albums-Ballroom_Magic-16,1,3087.078209486867,0.01591824517797574,1.1700550733065032
36,36,Albums-Ballroom_Magic-17,1,1359.8271309607096,0.015530539218290819,1.1811719882366591
37,37,Albums-Ballroom_Magic-18,1,1563.790369747075,0.02830702274592369,0.9446614499660932
38,38,Albums-Cafe_Paradiso-01,1,2276.5742140777684,0.01982021664946856,1.2034982634470084
39,39,Albums-Cafe_Paradiso-02,1,2497.483920471215,0.0524664210442785,1.5348565657895734
40,40,Albums-Cafe_Paradiso-03,1,3376.876396380131,0.014594701522959415,1.3167831289810852
41,41,Albums-Cafe_Paradiso-04,1,2175.5575365033515,0.04507369098206263,1.3482624034711848
42,42,Albums-Cafe_Paradiso-05,1,2478.607569226603,0.02142788321541783,1.1624480072714107
43,43,Albums-Cafe_Paradiso-06,1,3335.706709394957,0.020715992625131463,1.1320777733732732
44,44,Albums-Cafe_Paradiso-07,1,2645.110920538918,0.021025044278458475,1.2385326586531875
45,45,Albums-Cafe_Paradiso-08,1,2703.133307756539,0.0220755978061606,1.220472366086626
46,46,Albums-Cafe_Paradiso-09,1,1214.1242580848998,0.017604743146843398,0.97146498624864
47,47,Albums-Cafe_Paradiso-10,1,947.9643880751958,0.033900641589641886,1.043722817672945
48,48,Albums-Cafe_Paradiso-11,1,1838.138611180068,0.018429023381546242,1.7835179533861436
49,49,Albums-Cafe_Paradiso-12,1,1354.5855430931372,0.02230553391499392,1.061595475921192
50,50,Albums-Cafe_Paradiso-14,1,2309.7757519272204,0.02328841357813928,1.3178139856363225
51,51,Albums-Cafe_Paradiso-15,1,2287.322786666968,0.030078379397202093,1.078577056601975
52,52,Albums-Cafe_Paradiso-16,1,3026.0549299271056,0.015251415523314988,0.9609266701843728
53,53,Albums-Chrisanne1-01,1,1472.9193653945972,0.01703209487760147,0.8905827799064217
54,54,Albums-Chrisanne1-02,1,1584.2533456703754,0.024191316355347714,0.8817894538961348
55,55,Albums-Chrisanne1-03,1,1113.4061519712939,0.01682019321660887,1.0209368311052531
56,56,Albums-Chrisanne1-04,1,1754.6049513664773,0.01700232821419177,1.059754781718665
57,57,Albums-Chrisanne1-05,1,2018.7366188839292,0.022953323523496626,1.2476583434548811
58,58,Albums-Chrisanne1-06,1,1975.083387872086,0.020635535845861717,1.1528965847036448
59,59,Albums-Chrisanne1-07,1,1932.8521134706962,0.041773568776544326,0.9960675014174464
60,60,Albums-Chrisanne1-08,1,1586.4428697163232,0.02746431982966316,0.8979144936112852
61,61,Albums-Chrisanne1-12,1,2231.589447315565,0.013488339129593928,1.2234794082880072
62,62,Albums-Chrisanne1-13,1,2024.7457741869964,0.021790564541436463,1.128787995799343
63,63,Albums-Chrisanne1-14,1,2506.4078896887904,0.016706767824304594,1.078455509069704
64,64,Albums-Chrisanne2-01,1,1055.6491616077271,0.02924801651007356,0.7797955254169382
65,65,Albums-Chrisanne2-02,1,916.5480354765184,0.007781332315370765,1.0218335799098492
66,66,Albums-Chrisanne2-03,1,1601.271918936607,0.014644701437789122,1.0072727021550505
67,67,Albums-Chrisanne2-04,1,1759.8465392340506,0.014963850660261844,1.1960250297407182
68,68,Albums-Chrisanne2-05,1,1940.3495745977289,0.01947371181589062,1.2803385093924675
69,69,Albums-Chrisanne2-06,1,1807.2530522894992,0.013137182700244974,1.4131622873086909
70,70,Albums-Chrisanne2-07,1,1841.5555956760168,0.027913399270086896,1.0364032487903276
71,71,Albums-Chrisanne2-11,1,1758.320507323238,0.025371958548575588,0.9625537093111516
72,72,Albums-Chrisanne2-12,1,2062.766895958403,0.015354912842104674,1.5066247508539414
73,73,Albums-Chrisanne3-01,1,1614.0441425379702,0.012432428323254632,0.9957717348092712
74,74,Albums-Chrisanne3-02,1,918.1460951856282,0.019801676620016133,0.9931613848761766
